01000120001,01000120002,01000120003,01000120004,01000120005,01000112006,01200120007,01200120008,01000120009,01100120010,01200120011,01200000012,01100120013,01200120014,01000120015,01100120016,01200120017,01200111018,01000120019,01000120020,01000120021,01000120022,01000120023,01000120024,01010000025,01000120026
02001002,02002010,02003001,02004005,02005001,02006014,02007001,02008001,02009005,02010001,02011006,02012004,02013002,02014001,02015005,02016004,02017002,02018003,02019003,02020003,02021001,02022001,02023001,02024005,02025025,02026001
02001001,02002003,02003002,02004004,02005002,02006036,02007003,02008004,02009005,02010003,02011001,02012004,02013003,02014003,02015002,02016003,02017001,02018045,02019002,02020001,02021002,02022004,02023003,02024001,02025020,02026001
02001001,02002004,02003005,02004003,02005001,02006004,02007003,02008001,02009004,02010002,02011004,02012002,02013002,02014002,02015002,02016002,02017001,02018003,02019002,02020002,02021001,02022004,02023004,02024003,02025020,02026001
02001001,02002010,02003002,02004002,02005001,02006030,02007003,02008003,02009003,02010004,02011003,02012005,02013002,02014005,02015004,02016004,02017002,02018007,02019002,02020001,02021001,02022001,02023001,02024002,02025025,02026001
02001001,02002010,02003002,02004003,02005001,02006004,02007003,02008003,02009003,02010004,02011002,02012003,02013003,02014002,02015003,02016004,02017002,02018003,02019001,02020001,02021001,02022001,02023002,02024003,02025024,02026001
02001001,02002005,02003002,02004003,02005003,02006010,02007003,02008001,02009003,02010003,02011001,02012004,02013002,02014002,02015002,02016002,02017002,02018041,02019002,02020001,02021001,02022001,02023001,02024003,02025025,02026001
02001001,02002003,02003003,02004003,02005001,02006030,02007001,02008003,02009003,02010003,02011004,02012004,02013003,02014002,02015001,02016002,02017001,02018007,02019002,02020001,02021001,02022004,02023003,02024003,02025021,02026001
02001002,02002009,02003002,02004003,02005001,02006007,02007003,02008003,02009002,02010004,02011002,02012003,02013003,02014003,02015002,02016004,02017001,02018027,02019001,02020001,02021001,02022003,02023002,02024003,02025023,02026001
02001001,02002010,02003004,02004007,02005002,02006016,02007003,02008001,02009005,02010004,02011005,02012005,02013003,02014002,02015002,02016002,02017002,02018043,02019001,02020001,02021001,02022002,02023003,02024004,02025021,02026001
02001001,02002010,02003002,02004002,02005001,02006037,02007003,02008001,02009004,02010004,02011003,02012005,02013003,02014001,02015002,02016002,02017002,02018045,02019003,02020003,02021001,02022004,02023003,02024003,02025020,02026001
02001001,02002010,02003002,02004002,02005001,02006037,02007003,02008001,02009004,02010004,02011003,02012005,02013003,02014001,02015002,02016002,02017002,02018045,02019003,02020003,02021001,02022004,02023003,02024003,02025020,02026001
02001001,02002010,02003002,02004004,02005001,02006016,02007003,02008003,02009005,02010002,02011001,02012004,02013003,02014001,02015002,02016003,02017001,02018003,02019002,02020001,02021002,02022002,02023004,02024003,02025023,02026001
02001002,02002010,02003002,02004002,02005001,02006001,02007001,02008003,02009004,02010001,02011001,02012002,02013003,02014001,02015003,02016003,02017003,02018004,02019002,02020003,02021001,02022001,02023002,02024002,02025022,02026001
02001001,02002010,02003001,02004002,02005001,02006003,02007003,02008003,02009003,02010004,02011001,02012003,02013004,02014006,02015001,02016004,02017002,02018003,02019001,02020001,02021001,02022001,02023003,02024003,02025022,02026001
02001001,02002003,02003002,02004003,02005005,02006010,02007002,02008001,02009002,02010002,02011003,02012004,02013004,02014005,02015004,02016004,02017002,02018022,02019001,02020001,02021003,02022002,02023003,02024004,02025022,02026001
02001001,02002010,02003005,02004006,02005001,02006010,02007003,02008003,02009005,02010003,02011001,02012003,02013003,02014006,02015002,02016001,02017002,02018043,02019001,02020001,02021001,02022003,02023001,02024003,02025039,02026001
02001001,02002010,02003002,02004002,02005001,02006030,02007001,02008002,02009001,02010004,02011003,02012003,02013001,02014001,02015003,02016002,02017002,02018001,02019002,02020002,02021002,02022005,02023002,02024002,02025021,02026001
02001001,02002002,02003002,02004001,02005001,02006014,02007003,02008003,02009001,02010002,02011001,02012002,02013002,02014006,02015003,02016003,02017002,02018001,02019001,02020001,02021001,02022001,02023003,02024001,02025020,02026001
02001002,02002003,02003002,02004003,02005001,02006036,02007003,02008002,02009004,02010003,02011001,02012003,02013003,02014003,02015002,02016002,02017001,02018003,02019003,02020003,02021001,02022004,02023003,02024002,02025020,02026001
02001001,02002001,02003001,02004004,02005003,02006002,02007003,02008003,02009003,02010004,02011004,02012004,02013003,02014007,02015003,02016003,02017002,02018003,02019001,02020001,02021001,02022001,02023003,02024003,02025027,02026001
02001002,02002010,02003001,02004001,02005002,02006004,02007001,02008001,02009002,02010001,02011006,02012001,02013002,02014001,02015003,02016003,02017002,02018001,02019002,02020002,02021001,02022002,02023003,02024002,02025026,02026001
02001002,02002010,02003001,02004004,02005001,02006004,02007003,02008003,02009003,02010003,02011004,02012004,02013002,02014003,02015002,02016001,02017002,02018057,02019001,02020001,02021001,02022004,02023002,02024003,02025025,02026001
02001001,02002010,02003003,02004004,02005002,02006012,02007003,02008003,02009005,02010003,02011003,02012003,02013002,02014002,02015002,02016002,02017001,02018041,02019002,02020002,02021001,02022004,02023001,02024001,02025027,02026001
02001001,02002002,02003002,02004002,02005002,02006016,02007003,02008003,02009002,02010003,02011003,02012005,02013002,02014002,02015002,02016003,02017002,02018047,02019001,02020001,02021001,02022001,02023002,02024001,02025026,02026001
02001001,02002002,02003002,02004002,02005001,02006017,02007003,02008003,02009002,02010005,02011002,02012005,02013002,02014007,02015002,02016002,02017002,02018031,02019001,02020001,02021001,02022001,02023002,02024002,02025026,02026001
02001002,02002007,02003001,02004001,02005001,02006014,02007003,02008004,02009001,02010002,02011001,02012003,02013002,02014001,02015003,02016003,02017001,02018001,02019002,02020002,02021001,02022001,02023002,02024003,02025024,02026001
02001001,02002010,02003005,02004004,02005001,02006017,02007003,02008003,02009005,02010004,02011004,02012004,02013003,02014001,02015002,02016001,02017001,02018040,02019001,02020001,02021002,02022004,02023002,02024002,02025020,02026001
